SignatureId	TargetGene	CGSID	CellLine	Time	is_exemplar
LINCSKD_4056	C19ORF10	CGS001-56005	A549	96 h	1
LINCSKD_4057	C19ORF6	CGS001-91304	A549	96 h	1
LINCSKD_4058	C1ORF106	CGS001-55765	A549	96 h	1
LINCSKD_4059	C1QBP	CGS001-708	A549	96 h	1
LINCSKD_4060	C1QTNF6	CGS001-114904	A549	96 h	1
LINCSKD_4061	C1S	CGS001-716	A549	96 h	1
LINCSKD_4062	C2	CGS001-717	A549	96 h	1
LINCSKD_4063	C2CD2	CGS001-25966	A549	96 h	1
LINCSKD_4064	C2CD2L	CGS001-9854	A549	96 h	1
LINCSKD_4065	C3	CGS001-718	A549	96 h	1
LINCSKD_4066	C5	CGS001-727	A549	96 h	1
LINCSKD_4067	C5ORF62	CGS001-85027	A549	96 h	1
LINCSKD_4068	C9ORF96	CGS001-169436	A549	96 h	1
LINCSKD_4069	CA12	CGS001-771	A549	96 h	1
LINCSKD_4070	CA2	CGS001-760	A549	96 h	1
LINCSKD_4071	CAB39	CGS001-51719	A549	96 h	1
LINCSKD_4072	CABIN1	CGS001-23523	A549	96 h	1
LINCSKD_4073	CACNA1C	CGS001-775	A549	96 h	1
LINCSKD_4074	CACNA1D	CGS001-776	A549	96 h	1
LINCSKD_4075	CAD	CGS001-790	A549	96 h	1
LINCSKD_4076	CALCOCO2	CGS001-10241	A549	96 h	1
LINCSKD_4077	CALM1	CGS001-801	A549	96 h	1
LINCSKD_4078	CALM2	CGS001-805	A549	96 h	1
LINCSKD_4079	CALM3	CGS001-808	A549	96 h	1
LINCSKD_4080	CALR	CGS001-811	A549	96 h	1
LINCSKD_4081	CALU	CGS001-813	A549	96 h	1
LINCSKD_4082	CAMK1	CGS001-8536	A549	96 h	1
LINCSKD_4083	CAMK2G	CGS001-818	A549	96 h	1
LINCSKD_4084	CAMKK2	CGS001-10645	A549	96 h	1
LINCSKD_4085	CAMLG	CGS001-819	A549	96 h	1
LINCSKD_4086	CAMSAP2	CGS001-23271	A549	96 h	1
LINCSKD_4087	CAND1	CGS001-55832	A549	96 h	1
LINCSKD_4088	CAND2	CGS001-23066	A549	96 h	1
LINCSKD_4089	CANT1	CGS001-124583	A549	96 h	1
LINCSKD_4090	CANX	CGS001-821	A549	96 h	1
LINCSKD_4091	CAPG	CGS001-822	A549	96 h	1
LINCSKD_4092	CAPN1	CGS001-823	A549	96 h	1
LINCSKD_4093	CAPNS1	CGS001-826	A549	96 h	1
LINCSKD_4094	CAPNS2	CGS001-84290	A549	96 h	1
LINCSKD_4095	CAPSL	CGS001-133690	A549	96 h	1
LINCSKD_4096	CARD10	CGS001-29775	A549	96 h	1
LINCSKD_4097	CARD11	CGS001-84433	A549	96 h	1
LINCSKD_4098	CARD9	CGS001-64170	A549	96 h	1
LINCSKD_4099	CARS	CGS001-833	A549	96 h	1
LINCSKD_4100	CASC3	CGS001-22794	A549	96 h	1
LINCSKD_4101	CASK	CGS001-8573	A549	96 h	1
LINCSKD_4102	CASP10	CGS001-843	A549	96 h	1
LINCSKD_4103	CASP14	CGS001-23581	A549	96 h	1
LINCSKD_4104	CASP2	CGS001-835	A549	96 h	1
LINCSKD_4105	CASP3	CGS001-836	A549	96 h	1
LINCSKD_4106	CASP4	CGS001-837	A549	96 h	1
LINCSKD_4107	CASP6	CGS001-839	A549	96 h	1
LINCSKD_4108	CASP7	CGS001-840	A549	96 h	1
LINCSKD_4109	CASP9	CGS001-842	A549	96 h	1
LINCSKD_4110	CAST	CGS001-831	A549	96 h	1
LINCSKD_4111	CAT	CGS001-847	A549	96 h	1
LINCSKD_4112	CAV1	CGS001-857	A549	96 h	1
LINCSKD_4113	CBFA2T3	CGS001-863	A549	96 h	1
LINCSKD_4114	CBFB	CGS001-865	A549	96 h	1
LINCSKD_4115	CBLB	CGS001-868	A549	96 h	1
LINCSKD_4116	CBLC	CGS001-23624	A549	96 h	1
LINCSKD_4117	CBR1	CGS001-873	A549	96 h	1
LINCSKD_4118	CBR3	CGS001-874	A549	96 h	1
LINCSKD_4119	CBS	CGS001-875	A549	96 h	1
LINCSKD_4120	CBX4	CGS001-8535	A549	96 h	1
LINCSKD_4121	CBX6	CGS001-23466	A549	96 h	1
LINCSKD_4122	CBX7	CGS001-23492	A549	96 h	1
LINCSKD_4123	CCBL1	CGS001-883	A549	96 h	1
LINCSKD_4124	CCDC85B	CGS001-11007	A549	96 h	1
LINCSKD_4125	CCDC86	CGS001-79080	A549	96 h	1
LINCSKD_4126	CCDC90A	CGS001-63933	A549	96 h	1
LINCSKD_4127	CCDC92	CGS001-80212	A549	96 h	1
LINCSKD_4128	CCL20	CGS001-6364	A549	96 h	1
LINCSKD_4129	CCL2	CGS001-6347	A549	96 h	1
LINCSKD_4130	CCNA1	CGS001-8900	A549	96 h	1
LINCSKD_4131	CCNA2	CGS001-890	A549	96 h	1
LINCSKD_4132	CCNB1	CGS001-891	A549	96 h	1
LINCSKD_4133	CCNB2	CGS001-9133	A549	96 h	1
LINCSKD_4134	CCNC	CGS001-892	A549	96 h	1
LINCSKD_4135	CCND1	CGS001-595	A549	96 h	1
LINCSKD_4136	CCND2	CGS001-894	A549	96 h	1
LINCSKD_4137	CCND3	CGS001-896	A549	96 h	1
LINCSKD_4138	CCNE1	CGS001-898	A549	96 h	1
LINCSKD_4139	CCNE2	CGS001-9134	A549	96 h	1
LINCSKD_4140	CCNF	CGS001-899	A549	96 h	1
LINCSKD_4141	CCNG1	CGS001-900	A549	96 h	1
LINCSKD_4142	CCNG2	CGS001-901	A549	96 h	1
LINCSKD_4143	CCNH	CGS001-902	A549	96 h	1
LINCSKD_4144	CCNL1	CGS001-57018	A549	96 h	1
LINCSKD_4145	CCP110	CGS001-9738	A549	96 h	1
LINCSKD_4146	CCRL2	CGS001-9034	A549	96 h	1
LINCSKD_4147	CCRN4L	CGS001-25819	A549	96 h	1
LINCSKD_4148	CCT7	CGS001-10574	A549	96 h	1
LINCSKD_4149	CCT8	CGS001-10694	A549	96 h	1
LINCSKD_4150	CD14	CGS001-929	A549	96 h	1
LINCSKD_4151	CD19	CGS001-930	A549	96 h	1
LINCSKD_4152	CD2BP2	CGS001-10421	A549	96 h	1
LINCSKD_4153	CD320	CGS001-51293	A549	96 h	1
LINCSKD_4154	CD40	CGS001-958	A549	96 h	1
LINCSKD_4155	CD44	CGS001-960	A549	96 h	1
LINCSKD_4156	CD46	CGS001-4179	A549	96 h	1
LINCSKD_4157	CD55	CGS001-1604	A549	96 h	1
LINCSKD_4158	CD58	CGS001-965	A549	96 h	1
LINCSKD_4159	CD59	CGS001-966	A549	96 h	1
LINCSKD_4160	CD81	CGS001-975	A549	96 h	1
LINCSKD_4161	CD83	CGS001-9308	A549	96 h	1
LINCSKD_4162	CD97	CGS001-976	A549	96 h	1
LINCSKD_4163	CDA	CGS001-978	A549	96 h	1
LINCSKD_4164	CDC123	CGS001-8872	A549	96 h	1
LINCSKD_4165	CDC20	CGS001-991	A549	96 h	1
LINCSKD_4166	CDC25A	CGS001-993	A549	96 h	1
LINCSKD_4167	CDC25B	CGS001-994	A549	96 h	1
LINCSKD_4168	CDC25C	CGS001-995	A549	96 h	1
LINCSKD_4169	CDC37	CGS001-11140	A549	96 h	1
LINCSKD_4170	CDC42	CGS001-998	A549	96 h	1
LINCSKD_4171	CDC42SE1	CGS001-56882	A549	96 h	1
LINCSKD_4172	CDC45	CGS001-8318	A549	96 h	1
LINCSKD_4173	CDCA4	CGS001-55038	A549	96 h	1
LINCSKD_4174	CDCA7L	CGS001-55536	A549	96 h	1
LINCSKD_4175	CDCA8	CGS001-55143	A549	96 h	1
LINCSKD_4176	CDH1	CGS001-999	A549	96 h	1
LINCSKD_4177	CDH11	CGS001-1009	A549	96 h	1
LINCSKD_4178	CDH3	CGS001-1001	A549	96 h	1
LINCSKD_4179	CDIPT	CGS001-10423	A549	96 h	1
LINCSKD_4180	CDK10	CGS001-8558	A549	96 h	1
LINCSKD_4181	CDK1	CGS001-983	A549	96 h	1
LINCSKD_4182	CDK11B	CGS001-984	A549	96 h	1
LINCSKD_4183	CDK16	CGS001-5127	A549	96 h	1
LINCSKD_4184	CDK19	CGS001-23097	A549	96 h	1
LINCSKD_4185	CDK2	CGS001-1017	A549	96 h	1
LINCSKD_4186	CDK4	CGS001-1019	A549	96 h	1
LINCSKD_4187	CDK5	CGS001-1020	A549	96 h	1
LINCSKD_4188	CDK6	CGS001-1021	A549	96 h	1
LINCSKD_4189	CDK8	CGS001-1024	A549	96 h	1
LINCSKD_4190	CDK9	CGS001-1025	A549	96 h	1
LINCSKD_4191	CDKAL1	CGS001-54901	A549	96 h	1
LINCSKD_4192	CDKL4	CGS001-344387	A549	96 h	1
LINCSKD_4193	CDKN1A	CGS001-1026	A549	96 h	1
LINCSKD_4194	CDKN1C	CGS001-1028	A549	96 h	1
LINCSKD_4195	CDKN2A	CGS001-1029	A549	96 h	1
LINCSKD_4196	CDKN2B	CGS001-1030	A549	96 h	1
LINCSKD_4197	CDKN2C	CGS001-1031	A549	96 h	1
LINCSKD_4198	CDO1	CGS001-1036	A549	96 h	1
LINCSKD_4199	CDT1	CGS001-81620	A549	96 h	1
LINCSKD_4200	CDX1	CGS001-1044	A549	96 h	1
LINCSKD_4201	CDX2	CGS001-1045	A549	96 h	1
LINCSKD_4202	CEACAM1	CGS001-634	A549	96 h	1
LINCSKD_4203	CEACAM6	CGS001-4680	A549	96 h	1
LINCSKD_4204	CEBPA	CGS001-1050	A549	96 h	1
LINCSKD_4205	CEBPD	CGS001-1052	A549	96 h	1
LINCSKD_4206	CEBPZ	CGS001-10153	A549	96 h	1
LINCSKD_4207	CELSR2	CGS001-1952	A549	96 h	1
LINCSKD_4208	CELSR3	CGS001-1951	A549	96 h	1
LINCSKD_4209	CENPE	CGS001-1062	A549	96 h	1
LINCSKD_4210	CEP55	CGS001-55165	A549	96 h	1
LINCSKD_4211	CEP57	CGS001-9702	A549	96 h	1
LINCSKD_4212	CEP72	CGS001-55722	A549	96 h	1
LINCSKD_4213	CEPT1	CGS001-10390	A549	96 h	1
LINCSKD_4214	CERK	CGS001-64781	A549	96 h	1
LINCSKD_4215	CERS2	CGS001-29956	A549	96 h	1
LINCSKD_4216	CERS3	CGS001-204219	A549	96 h	1
LINCSKD_4217	CERS4	CGS001-79603	A549	96 h	1
LINCSKD_4218	CES1	CGS001-1066	A549	96 h	1
LINCSKD_4219	CES2	CGS001-8824	A549	96 h	1
LINCSKD_4220	CETN2	CGS001-1069	A549	96 h	1
LINCSKD_4221	CETN3	CGS001-1070	A549	96 h	1
LINCSKD_4222	CFB	CGS001-629	A549	96 h	1
LINCSKD_4223	CFD	CGS001-1675	A549	96 h	1
LINCSKD_4224	CFL1	CGS001-1072	A549	96 h	1
LINCSKD_4225	CFLAR	CGS001-8837	A549	96 h	1
LINCSKD_4226	CFTR	CGS001-1080	A549	96 h	1
LINCSKD_4227	CGRRF1	CGS001-10668	A549	96 h	1
LINCSKD_4228	CHAC1	CGS001-79094	A549	96 h	1
LINCSKD_4229	CHAF1B	CGS001-8208	A549	96 h	1
LINCSKD_4230	CHCHD7	CGS001-79145	A549	96 h	1
LINCSKD_4231	CHD1	CGS001-1105	A549	96 h	1
LINCSKD_4232	CHEK1	CGS001-1111	A549	96 h	1
LINCSKD_4233	CHEK2	CGS001-11200	A549	96 h	1
LINCSKD_4234	CHERP	CGS001-10523	A549	96 h	1
LINCSKD_4235	CHIC2	CGS001-26511	A549	96 h	1
LINCSKD_4236	CHKA	CGS001-1119	A549	96 h	1
LINCSKD_4237	CHKB	CGS001-1120	A549	96 h	1
LINCSKD_4238	CHMP2A	CGS001-27243	A549	96 h	1
LINCSKD_4239	CHMP4A	CGS001-29082	A549	96 h	1
LINCSKD_4240	CHMP6	CGS001-79643	A549	96 h	1
LINCSKD_4241	CHN1	CGS001-1123	A549	96 h	1
LINCSKD_4242	CHRAC1	CGS001-54108	A549	96 h	1
LINCSKD_4243	CHRM1	CGS001-1128	A549	96 h	1
LINCSKD_4244	CHRM3	CGS001-1131	A549	96 h	1
LINCSKD_4245	CHUK	CGS001-1147	A549	96 h	1
LINCSKD_4246	CIAPIN1	CGS001-57019	A549	96 h	1
LINCSKD_4247	CIR1	CGS001-9541	A549	96 h	1
LINCSKD_4248	CIRBP	CGS001-1153	A549	96 h	1
LINCSKD_4249	CISD1	CGS001-55847	A549	96 h	1
LINCSKD_4250	CISH	CGS001-1154	A549	96 h	1
LINCSKD_4251	CIT	CGS001-11113	A549	96 h	1
LINCSKD_4252	CKB	CGS001-1152	A549	96 h	1
LINCSKD_4253	CKS1B	CGS001-1163	A549	96 h	1
LINCSKD_4254	CLASRP	CGS001-11129	A549	96 h	1
LINCSKD_4255	CLCN3	CGS001-1182	A549	96 h	1
LINCSKD_4256	CLCN5	CGS001-1184	A549	96 h	1
LINCSKD_4257	CLEC16A	CGS001-23274	A549	96 h	1
LINCSKD_4258	CLIC4	CGS001-25932	A549	96 h	1
LINCSKD_4259	CLK1	CGS001-1195	A549	96 h	1
LINCSKD_4260	CLN3	CGS001-1201	A549	96 h	1
LINCSKD_4261	CLOCK	CGS001-9575	A549	96 h	1
LINCSKD_4262	CLPB	CGS001-81570	A549	96 h	1
LINCSKD_4263	CLPP	CGS001-8192	A549	96 h	1
LINCSKD_4264	CLPTM1	CGS001-1209	A549	96 h	1
LINCSKD_4265	CLPX	CGS001-10845	A549	96 h	1
LINCSKD_4266	CLSTN1	CGS001-22883	A549	96 h	1
LINCSKD_4267	CLTA	CGS001-1211	A549	96 h	1
LINCSKD_4268	CLTB	CGS001-1212	A549	96 h	1
LINCSKD_4269	CLTC	CGS001-1213	A549	96 h	1
LINCSKD_4270	CMAS	CGS001-55907	A549	96 h	1
LINCSKD_4271	CMPK1	CGS001-51727	A549	96 h	1
LINCSKD_4272	CNDP2	CGS001-55748	A549	96 h	1
LINCSKD_4273	CNNM2	CGS001-54805	A549	96 h	1
LINCSKD_4274	CNOT3	CGS001-4849	A549	96 h	1
LINCSKD_4275	CNOT4	CGS001-4850	A549	96 h	1
LINCSKD_4276	CNOT7	CGS001-29883	A549	96 h	1
LINCSKD_4277	CNPY3	CGS001-10695	A549	96 h	1
LINCSKD_4278	COASY	CGS001-80347	A549	96 h	1
LINCSKD_4279	COBL	CGS001-23242	A549	96 h	1
LINCSKD_4280	COG2	CGS001-22796	A549	96 h	1
LINCSKD_4281	COG4	CGS001-25839	A549	96 h	1
LINCSKD_4282	COG7	CGS001-91949	A549	96 h	1
LINCSKD_4283	COL13A1	CGS001-1305	A549	96 h	1
LINCSKD_4284	COL4A2	CGS001-1284	A549	96 h	1
LINCSKD_4285	COL4A5	CGS001-1287	A549	96 h	1
LINCSKD_4286	COMT	CGS001-1312	A549	96 h	1
LINCSKD_4287	COPA	CGS001-1314	A549	96 h	1
LINCSKD_4288	COPB2	CGS001-9276	A549	96 h	1
LINCSKD_4289	COPS2	CGS001-9318	A549	96 h	1
LINCSKD_4290	COPS5	CGS001-10987	A549	96 h	1
LINCSKD_4291	COPS7A	CGS001-50813	A549	96 h	1
LINCSKD_4292	COPZ1	CGS001-22818	A549	96 h	1
LINCSKD_4293	COQ3	CGS001-51805	A549	96 h	1
LINCSKD_4294	CORO1A	CGS001-11151	A549	96 h	1
LINCSKD_4295	COX5A	CGS001-9377	A549	96 h	1
LINCSKD_4296	COX6B2	CGS001-125965	A549	96 h	1
LINCSKD_4297	COX6C	CGS001-1345	A549	96 h	1
LINCSKD_4298	COX7B	CGS001-1349	A549	96 h	1
LINCSKD_4299	CP	CGS001-1356	A549	96 h	1
LINCSKD_4300	CPD	CGS001-1362	A549	96 h	1
LINCSKD_4301	CPE	CGS001-1363	A549	96 h	1
LINCSKD_4302	CPNE3	CGS001-8895	A549	96 h	1
LINCSKD_4303	CPSF4	CGS001-10898	A549	96 h	1
LINCSKD_4304	CPT1A	CGS001-1374	A549	96 h	1
LINCSKD_4305	CPT2	CGS001-1376	A549	96 h	1
LINCSKD_4306	CRABP1	CGS001-1381	A549	96 h	1
LINCSKD_4307	CRABP2	CGS001-1382	A549	96 h	1
LINCSKD_4308	CRADD	CGS001-8738	A549	96 h	1
LINCSKD_4309	CRAT	CGS001-1384	A549	96 h	1
LINCSKD_4310	CRCP	CGS001-27297	A549	96 h	1
LINCSKD_4311	CREB1	CGS001-1385	A549	96 h	1
LINCSKD_4312	CREB3	CGS001-10488	A549	96 h	1
LINCSKD_4313	CREB3L1	CGS001-90993	A549	96 h	1
LINCSKD_4314	CREB3L2	CGS001-64764	A549	96 h	1
LINCSKD_4315	CREB3L4	CGS001-148327	A549	96 h	1
LINCSKD_4316	CREBBP	CGS001-1387	A549	96 h	1
LINCSKD_4317	CREBL2	CGS001-1389	A549	96 h	1
LINCSKD_4318	CREG1	CGS001-8804	A549	96 h	1
LINCSKD_4319	CRELD2	CGS001-79174	A549	96 h	1
LINCSKD_4320	CREM	CGS001-1390	A549	96 h	1
LINCSKD_4321	CRK	CGS001-1398	A549	96 h	1
LINCSKD_4322	CRKL	CGS001-1399	A549	96 h	1
LINCSKD_4323	CROT	CGS001-54677	A549	96 h	1
LINCSKD_4324	CRTAP	CGS001-10491	A549	96 h	1
LINCSKD_4325	CRY1	CGS001-1407	A549	96 h	1
LINCSKD_4326	CRYAA	CGS001-1409	A549	96 h	1
LINCSKD_4327	CRYZ	CGS001-1429	A549	96 h	1
LINCSKD_4328	CSAD	CGS001-51380	A549	96 h	1
LINCSKD_4329	CSDA	CGS001-8531	A549	96 h	1
LINCSKD_4330	CSF3	CGS001-1440	A549	96 h	1
LINCSKD_4331	CSK	CGS001-1445	A549	96 h	1
LINCSKD_4332	CSNK1A1	CGS001-1452	A549	96 h	1
LINCSKD_4333	CSNK1A1L	CGS001-122011	A549	96 h	1
LINCSKD_4334	CSNK1D	CGS001-1453	A549	96 h	1
LINCSKD_4335	CSNK1E	CGS001-1454	A549	96 h	1
LINCSKD_4336	CSNK1G2	CGS001-1455	A549	96 h	1
LINCSKD_4337	CSNK1G3	CGS001-1456	A549	96 h	1
LINCSKD_4338	CSNK2A1	CGS001-1457	A549	96 h	1
LINCSKD_4339	CSNK2A2	CGS001-1459	A549	96 h	1
LINCSKD_4340	CSNK2B	CGS001-1460	A549	96 h	1
LINCSKD_4341	CTBP1	CGS001-1487	A549	96 h	1
LINCSKD_4342	CTBP2	CGS001-1488	A549	96 h	1
LINCSKD_4343	CTCF	CGS001-10664	A549	96 h	1
LINCSKD_4344	CTCFL	CGS001-140690	A549	96 h	1
LINCSKD_4345	CTDSP1	CGS001-58190	A549	96 h	1
LINCSKD_4346	CTGF	CGS001-1490	A549	96 h	1
LINCSKD_4347	CTH	CGS001-1491	A549	96 h	1
LINCSKD_4348	CTLA4	CGS001-1493	A549	96 h	1
LINCSKD_4349	CTNNA1	CGS001-1495	A549	96 h	1
LINCSKD_4350	CTNNAL1	CGS001-8727	A549	96 h	1
LINCSKD_4351	CTNNB1	CGS001-1499	A549	96 h	1
LINCSKD_4352	CTNNBIP1	CGS001-56998	A549	96 h	1
LINCSKD_4353	CTNND1	CGS001-1500	A549	96 h	1
LINCSKD_4354	CTNS	CGS001-1497	A549	96 h	1
LINCSKD_4355	CTPS	CGS001-1503	A549	96 h	1
LINCSKD_4356	CTRB1	CGS001-1504	A549	96 h	1
LINCSKD_4357	CTRB2	CGS001-440387	A549	96 h	1
LINCSKD_4358	CTSD	CGS001-1509	A549	96 h	1
LINCSKD_4359	CTSH	CGS001-1512	A549	96 h	1
LINCSKD_4360	CTSK	CGS001-1513	A549	96 h	1
LINCSKD_4361	CTSL1	CGS001-1514	A549	96 h	1
LINCSKD_4362	CTSL2	CGS001-1515	A549	96 h	1
LINCSKD_4363	CTTN	CGS001-2017	A549	96 h	1
LINCSKD_4364	CUL2	CGS001-8453	A549	96 h	1
LINCSKD_4365	CXADR	CGS001-1525	A549	96 h	1
LINCSKD_4366	CXCL1	CGS001-2919	A549	96 h	1
LINCSKD_4367	CXCL12	CGS001-6387	A549	96 h	1
LINCSKD_4368	CXCL2	CGS001-2920	A549	96 h	1
LINCSKD_4369	CXCR2	CGS001-3579	A549	96 h	1
LINCSKD_4370	CXCR4	CGS001-7852	A549	96 h	1
LINCSKD_4371	CXCR7	CGS001-57007	A549	96 h	1
LINCSKD_4372	CYB561	CGS001-1534	A549	96 h	1
LINCSKD_4373	CYB5A	CGS001-1528	A549	96 h	1
LINCSKD_4374	CYB5B	CGS001-80777	A549	96 h	1
LINCSKD_4375	CYB5R3	CGS001-1727	A549	96 h	1
LINCSKD_4376	CYC1	CGS001-1537	A549	96 h	1
LINCSKD_4377	CYCS	CGS001-54205	A549	96 h	1
LINCSKD_4378	CYP1A1	CGS001-1543	A549	96 h	1
LINCSKD_4379	CYP1B1	CGS001-1545	A549	96 h	1
LINCSKD_4380	CYP20A1	CGS001-57404	A549	96 h	1
LINCSKD_4381	CYP24A1	CGS001-1591	A549	96 h	1
LINCSKD_4382	CYP27B1	CGS001-1594	A549	96 h	1
LINCSKD_4383	CYP3A5	CGS001-1577	A549	96 h	1
LINCSKD_4384	CYP51A1	CGS001-1595	A549	96 h	1
LINCSKD_4385	CYTH1	CGS001-9267	A549	96 h	1
LINCSKD_4386	DACH2	CGS001-117154	A549	96 h	1
LINCSKD_4387	DAG1	CGS001-1605	A549	96 h	1
LINCSKD_4388	DAP	CGS001-1611	A549	96 h	1
LINCSKD_4389	DAPK1	CGS001-1612	A549	96 h	1
LINCSKD_4390	DAPK3	CGS001-1613	A549	96 h	1
LINCSKD_4391	DARS	CGS001-1615	A549	96 h	1
LINCSKD_4392	DAXX	CGS001-1616	A549	96 h	1
LINCSKD_4393	DBI	CGS001-1622	A549	96 h	1
LINCSKD_4394	DCK	CGS001-1633	A549	96 h	1
LINCSKD_4395	DCP1A	CGS001-55802	A549	96 h	1
LINCSKD_4396	DCPS	CGS001-28960	A549	96 h	1
LINCSKD_4397	DCTD	CGS001-1635	A549	96 h	1
LINCSKD_4398	DCTN6	CGS001-10671	A549	96 h	1
LINCSKD_4399	DCXR	CGS001-51181	A549	96 h	1
LINCSKD_4400	DDAH1	CGS001-23576	A549	96 h	1
LINCSKD_4401	DDB1	CGS001-1642	A549	96 h	1
LINCSKD_4402	DDB2	CGS001-1643	A549	96 h	1
LINCSKD_4403	DDC	CGS001-1644	A549	96 h	1
LINCSKD_4404	DDIT3	CGS001-1649	A549	96 h	1
LINCSKD_4405	DDIT4	CGS001-54541	A549	96 h	1
LINCSKD_4406	DDOST	CGS001-1650	A549	96 h	1
LINCSKD_4407	DDR1	CGS001-780	A549	96 h	1
LINCSKD_4408	DDX10	CGS001-1662	A549	96 h	1
LINCSKD_4409	DDX39B	CGS001-7919	A549	96 h	1
LINCSKD_4410	DDX42	CGS001-11325	A549	96 h	1
LINCSKD_4411	DDX49	CGS001-54555	A549	96 h	1
LINCSKD_4412	DECR1	CGS001-1666	A549	96 h	1
LINCSKD_4413	DEK	CGS001-7913	A549	96 h	1
LINCSKD_4414	DENND1B	CGS001-163486	A549	96 h	1
LINCSKD_4415	DENND2D	CGS001-79961	A549	96 h	1
LINCSKD_4416	DERA	CGS001-51071	A549	96 h	1
LINCSKD_4417	DERL1	CGS001-79139	A549	96 h	1
LINCSKD_4418	DFFA	CGS001-1676	A549	96 h	1
LINCSKD_4419	DFFB	CGS001-1677	A549	96 h	1
LINCSKD_4420	DFNB31	CGS001-25861	A549	96 h	1
LINCSKD_4421	DGCR14	CGS001-8220	A549	96 h	1
LINCSKD_4422	DGKA	CGS001-1606	A549	96 h	1
LINCSKD_4423	DGKD	CGS001-8527	A549	96 h	1
LINCSKD_4424	DGKH	CGS001-160851	A549	96 h	1
LINCSKD_4425	DGKZ	CGS001-8525	A549	96 h	1
LINCSKD_4426	DHCR24	CGS001-1718	A549	96 h	1
LINCSKD_4427	DHCR7	CGS001-1717	A549	96 h	1
LINCSKD_4428	DHDDS	CGS001-79947	A549	96 h	1
LINCSKD_4429	DHFR	CGS001-1719	A549	96 h	1
LINCSKD_4430	DHH	CGS001-50846	A549	96 h	1
LINCSKD_4431	DHPS	CGS001-1725	A549	96 h	1
LINCSKD_4432	DHRS2	CGS001-10202	A549	96 h	1
LINCSKD_4433	DHRS3	CGS001-9249	A549	96 h	1
LINCSKD_4434	DHRS4	CGS001-10901	A549	96 h	1
LINCSKD_4435	DHRS7	CGS001-51635	A549	96 h	1
LINCSKD_4436	DHTKD1	CGS001-55526	A549	96 h	1
LINCSKD_4437	DHX16	CGS001-8449	A549	96 h	1
LINCSKD_4438	DHX29	CGS001-54505	A549	96 h	1
LINCSKD_4439	DHX8	CGS001-1659	A549	96 h	1
LINCSKD_4440	DIABLO	CGS001-56616	A549	96 h	1
LINCSKD_4441	DICER1	CGS001-23405	A549	96 h	1
LINCSKD_4442	DIDO1	CGS001-11083	A549	96 h	1
LINCSKD_4443	DIS3	CGS001-22894	A549	96 h	1
LINCSKD_4444	DKC1	CGS001-1736	A549	96 h	1
LINCSKD_4445	DLAT	CGS001-1737	A549	96 h	1
LINCSKD_4446	DLC1	CGS001-10395	A549	96 h	1
LINCSKD_4447	DLD	CGS001-1738	A549	96 h	1
LINCSKD_4448	DLG5	CGS001-9231	A549	96 h	1
LINCSKD_4449	DLGAP5	CGS001-9787	A549	96 h	1
LINCSKD_4450	DLX2	CGS001-1746	A549	96 h	1
LINCSKD_4451	DLX3	CGS001-1747	A549	96 h	1
LINCSKD_4452	DMD	CGS001-1756	A549	96 h	1
LINCSKD_4453	DMRTB1	CGS001-63948	A549	96 h	1
LINCSKD_4454	DMTF1	CGS001-9988	A549	96 h	1
LINCSKD_4455	DNA2	CGS001-1763	A549	96 h	1
LINCSKD_4456	DNAJA3	CGS001-9093	A549	96 h	1
LINCSKD_4457	DNAJB1	CGS001-3337	A549	96 h	1
LINCSKD_4458	DNAJB12	CGS001-54788	A549	96 h	1
LINCSKD_4459	DNAJB2	CGS001-3300	A549	96 h	1
LINCSKD_4460	DNAJB6	CGS001-10049	A549	96 h	1
LINCSKD_4461	DNAJB9	CGS001-4189	A549	96 h	1
LINCSKD_4462	DNAJC1	CGS001-64215	A549	96 h	1
LINCSKD_4463	DNAJC12	CGS001-56521	A549	96 h	1
LINCSKD_4464	DNAJC15	CGS001-29103	A549	96 h	1
LINCSKD_4465	DNM1	CGS001-1759	A549	96 h	1
LINCSKD_4466	DNM1L	CGS001-10059	A549	96 h	1
LINCSKD_4467	DNMT1	CGS001-1786	A549	96 h	1
LINCSKD_4468	DNMT3A	CGS001-1788	A549	96 h	1
LINCSKD_4469	DNMT3L	CGS001-29947	A549	96 h	1
LINCSKD_4470	DNPEP	CGS001-23549	A549	96 h	1
LINCSKD_4471	DNTTIP2	CGS001-30836	A549	96 h	1
LINCSKD_4472	DOK4	CGS001-55715	A549	96 h	1
LINCSKD_4473	DPF1	CGS001-8193	A549	96 h	1
LINCSKD_4474	DPH2	CGS001-1802	A549	96 h	1
LINCSKD_4475	DPP4	CGS001-1803	A549	96 h	1
LINCSKD_4476	DPYD	CGS001-1806	A549	96 h	1
LINCSKD_4477	DR1	CGS001-1810	A549	96 h	1
LINCSKD_4478	DRAP1	CGS001-10589	A549	96 h	1
LINCSKD_4479	DROSHA	CGS001-29102	A549	96 h	1
LINCSKD_4480	DSE	CGS001-29940	A549	96 h	1
LINCSKD_4481	DSG2	CGS001-1829	A549	96 h	1
LINCSKD_4482	DTNA	CGS001-1837	A549	96 h	1
LINCSKD_4483	DTX1	CGS001-1840	A549	96 h	1
LINCSKD_4484	DTX3L	CGS001-151636	A549	96 h	1
LINCSKD_4485	DTYMK	CGS001-1841	A549	96 h	1
LINCSKD_4486	DUSP1	CGS001-1843	A549	96 h	1
