gene_id,ENCFF082ICE,ENCFF197WCT,ENCFF467SQA,ENCFF474PTO,ENCFF620TAH,ENCFF763LKA,ENCFF778BJF
ENSG00000228594,177,35,54,93,69,93,76
ENSG00000272106,49,12,28,16,23,27,21
ENSG00000197530,176,53,134,88,128,151,166
ENSG00000189409,0,0,1,1,2,1,0
ENSG00000248333,804,212,302,318,374,404,434
ENSG00000272004,3,1,0,4,3,1,3
ENSG00000189339,1274,291,570,498,567,551,601
ENSG00000269737,0,0,0,0,0,0,1
ENSG00000269227,0,0,0,0,0,0,0
ENSG00000215914,0,0,0,0,0,2,0
ENSG00000008128,41,19,31,17,34,31,52
ENSG00000268575,76,20,36,40,32,32,39
ENSG00000227775,0,0,1,0,2,0,1
ENSG00000215790,84,29,28,43,46,54,23
ENSG00000008130,1105,310,463,564,556,614,545
ENSG00000078369,27666,7273,9028,12259,10495,11541,10513
ENSG00000231050,0,0,0,0,1,0,2
ENSG00000169885,0,0,2,2,3,2,1
ENSG00000178821,6,2,3,0,2,5,6
ENSG00000142609,3,0,1,0,0,0,0
ENSG00000233542,0,0,0,0,0,0,0
ENSG00000187730,11,1,1,4,3,3,0
ENSG00000226969,0,0,0,1,1,0,0
ENSG00000067606,665,160,278,249,304,346,363
ENSG00000271806,0,0,0,0,0,0,0
ENSG00000182873,11,5,8,12,6,10,8
ENSG00000162585,335,95,188,144,186,227,227
ENSG00000234396,0,0,2,0,0,0,1
ENSG00000277082,0,0,0,0,0,0,0
ENSG00000157933,3223,836,1072,1382,1239,1370,1088
ENSG00000116151,144,31,58,50,65,50,60
ENSG00000272161,0,0,1,0,0,0,0
ENSG00000269896,13,3,7,8,6,15,11
ENSG00000272420,1,0,2,0,2,4,0
ENSG00000157916,1866,552,962,879,1019,1076,1055
ENSG00000157911,980,240,424,435,457,522,422
ENSG00000149527,13,4,13,4,8,9,11
ENSG00000224387,0,0,0,0,0,0,0
ENSG00000229393,0,1,0,0,0,1,0
ENSG00000157881,498,160,238,236,332,256,283
ENSG00000197921,0,0,0,0,0,0,0
ENSG00000272449,0,1,0,0,0,0,0
ENSG00000238164,0,0,0,0,0,0,0
ENSG00000157873,1,0,1,1,0,0,2
ENSG00000225931,0,0,0,0,0,0,0
ENSG00000228037,0,1,0,0,0,0,0
ENSG00000157870,351,112,187,175,232,224,234
ENSG00000142606,1,0,0,0,0,0,0
ENSG00000237058,0,0,0,0,0,0,0
ENSG00000215912,4,3,3,0,4,4,4
ENSG00000233234,0,0,0,0,0,0,0
ENSG00000231630,0,0,0,0,0,0,0
ENSG00000169717,0,0,0,0,0,0,0
ENSG00000177133,1,0,0,0,1,0,1
ENSG00000142611,10,2,7,2,8,7,1
ENSG00000226286,0,0,0,0,0,0,0
ENSG00000279839,0,0,0,0,0,0,0
ENSG00000272235,0,0,0,0,0,0,0
ENSG00000130762,80,27,58,44,47,48,77
ENSG00000272088,0,0,0,1,5,0,1
ENSG00000162591,381,56,271,90,247,170,184
ENSG00000207776,0,0,0,0,0,0,0
ENSG00000238260,2,0,0,0,0,0,0
ENSG00000158109,890,284,408,434,480,488,465
ENSG00000116213,446,117,199,190,248,228,243
ENSG00000078900,31,4,4,3,7,2,7
ENSG00000227589,0,0,0,0,0,3,0
ENSG00000235131,0,0,0,0,0,0,0
ENSG00000227372,439,143,234,226,242,291,273
ENSG00000276189,0,0,0,0,0,0,0
ENSG00000162592,0,0,0,0,0,0,0
ENSG00000235169,0,0,0,0,1,2,0
ENSG00000130764,3132,763,929,1308,1066,1278,1225
ENSG00000266075,0,0,0,0,0,0,0
ENSG00000272153,1,0,0,0,0,0,1
ENSG00000116198,1388,303,491,472,540,542,544
ENSG00000169598,235,60,114,98,91,118,73
ENSG00000198912,823,226,307,351,443,398,397
ENSG00000236423,13,3,12,3,17,7,8
ENSG00000233304,0,0,0,1,0,0,0
ENSG00000226374,0,0,0,0,0,0,0
ENSG00000229280,0,0,0,0,0,0,0
ENSG00000235054,1,0,1,0,0,0,0
ENSG00000227169,0,0,0,0,0,0,0
ENSG00000232596,0,0,0,0,0,0,0
ENSG00000196581,1,0,0,0,0,0,0
ENSG00000277731,0,0,0,0,0,0,0
ENSG00000231510,0,0,0,0,0,0,0
ENSG00000260972,0,0,0,0,0,0,0
ENSG00000264341,0,0,0,0,0,0,0
ENSG00000236948,0,0,0,0,0,0,0
ENSG00000216045,0,0,0,0,0,0,0
ENSG00000264101,0,0,0,0,0,0,0
ENSG00000131697,652,136,238,227,268,280,221
ENSG00000266687,0,0,0,0,0,1,0
ENSG00000069424,464,107,209,148,233,208,266
ENSG00000116254,64,44,32,72,18,90,23
ENSG00000116251,5121,1326,2056,2400,2470,2505,2372
ENSG00000226944,8,1,2,2,2,1,2
ENSG00000158286,373,113,202,183,183,224,181
ENSG00000116237,6691,1786,2713,2891,3303,3250,3491
ENSG00000225077,27,3,8,13,8,15,17
ENSG00000173673,0,0,0,0,0,0,0
ENSG00000158292,65,88,43,146,35,222,53
ENSG00000097021,690,319,325,436,366,546,418
ENSG00000271746,1,1,0,0,0,1,1
ENSG00000069812,18,31,19,43,8,57,17
ENSG00000187017,4,0,1,3,0,2,3
ENSG00000265392,0,0,0,0,0,0,0
ENSG00000231868,0,0,0,0,0,0,0
ENSG00000215788,42,15,35,33,22,38,42
ENSG00000171680,147,37,66,73,68,112,80
ENSG00000162408,3218,766,1190,1364,1176,1222,1392
ENSG00000253022,0,0,0,0,0,0,0
ENSG00000229519,4,0,4,1,1,0,2
ENSG00000173662,0,0,0,0,0,0,0
ENSG00000204859,136,53,90,69,103,101,105
ENSG00000162413,1061,235,426,401,507,436,489
ENSG00000116273,882,214,367,363,379,346,390
ENSG00000041988,368,92,142,156,160,174,168
ENSG00000007923,2406,663,1052,1026,1111,1195,1097
ENSG00000228750,0,0,0,0,0,0,0
ENSG00000237436,25,8,20,11,13,8,12
ENSG00000171735,822,151,324,307,356,306,406
ENSG00000227950,0,0,0,0,0,0,0
ENSG00000237365,0,0,0,0,0,0,0
ENSG00000207056,0,0,0,0,0,0,0
ENSG00000280801,0,0,0,0,0,0,0
ENSG00000237402,0,0,0,0,0,0,0
ENSG00000237728,0,0,0,0,0,0,0
ENSG00000225126,0,0,0,0,0,0,0
ENSG00000270171,1,0,0,0,0,0,0
ENSG00000270035,0,0,0,0,0,0,0
ENSG00000269978,3,0,0,0,0,0,0
ENSG00000049245,14908,3791,4898,7084,5578,5972,5474
ENSG00000269925,147,32,43,68,53,73,47
ENSG00000049246,444,80,111,169,155,147,174
ENSG00000236266,0,0,0,0,0,0,0
ENSG00000049247,0,0,0,0,0,0,0
ENSG00000049249,103,15,35,25,23,8,42
ENSG00000270330,0,0,0,0,0,0,0
ENSG00000116288,10678,2612,3629,4929,4264,4524,4526
ENSG00000200344,1,1,0,0,0,0,0
ENSG00000116285,10153,6477,2623,11281,2876,10878,2279
ENSG00000238290,1,2,1,3,0,4,0
ENSG00000232848,0,2,0,0,2,2,0
