Experiment	Time	Order
ENCSR778NQS	0 minute	1
ENCSR734FLK	5 minute	2
ENCSR027BPE	10 minute	3
ENCSR325VCV	15 minute	4
ENCSR864KVZ	20 minute	5
ENCSR480OHP	25 minute	6
ENCSR102XUM	30 minute	7
ENCSR783SNV	0 hour	8
ENCSR242TBH	1 hour	9
ENCSR614NPG	2 hour	10
ENCSR350EFV	3 hour	11
ENCSR543ZVZ	4 hour	12
ENCSR716XDB	5 hour	13
ENCSR340NAL	6 hour	14
ENCSR569IBY	7 hour	15
ENCSR250EHC	8 hour	16
ENCSR180YHA	10 hour	17
ENCSR435JKM	12 hour	18
