Experiment	Time	Order
ENCSR192PBJ	0 minute	1
ENCSR110UPH	5 minute	2
ENCSR022WVP	10 minute	3
ENCSR716SJK	15 minute	4
ENCSR628MQN	20 minute	5
ENCSR604CKQ	25 minute	6
ENCSR761RDU	30 minute	7
ENCSR048CVK	0 hour	8
ENCSR991VVW	1 hour	9
ENCSR793HZD	2 hour	10
ENCSR489DIG	3 hour	11
ENCSR708DGM	4 hour	12
ENCSR504LBE	5 hour	13
ENCSR612GKD	6 hour	14
ENCSR991RJM	7 hour	15
ENCSR783THJ	8 hour	16
ENCSR090RGB	10 hour	17
ENCSR664ZHF	12 hour	18
