Experiment	Time	Order
ENCSR070VXO	25 minutes	5
ENCSR458VTP	20 minutes	4
ENCSR471EKW	10 minutes	2
ENCSR857QEA	5 minutes	1
ENCSR908AOO	15 minutes	3
ENCSR255CTA	10 hours	15
ENCSR720DXT	2 hours	8
ENCSR424JOE	6 hours	12
ENCSR385RUW	3 hours	9
ENCSR660RYY	4 hours	10
ENCSR691GRA	8 hours	14
ENCSR919OXR	1 hour	7
ENCSR287FWE	12 hours	16
ENCSR773NQB	30 minutes	6
ENCSR686PFM	5 hours	11
ENCSR952GOL	7 hours	13
