Experiment	Time	Order
ENCSR886OEO	0 minute	1
ENCSR602BTS	5 minute	2
ENCSR174FJD	10 minute	3
ENCSR788VKG	15 minute	4
ENCSR167QIJ	20 minute	5
ENCSR044IFH	25 minute	6
ENCSR260WCE	30 minute	7
ENCSR686BQM	0 hour	8
ENCSR358ELZ	1 hour	9
ENCSR770OTI	2 hour	10
ENCSR047EVQ	3 hour	11
ENCSR145YCX	4 hour	12
ENCSR610RKF	5 hour	13
ENCSR841ASB	6 hour	14
ENCSR467VXG	7 hour	15
ENCSR561ZRE	8 hour	16
ENCSR792VMN	10 hour	17
ENCSR124VXG	12 hour	18
