NAME	REGIONS	BP	output/chip-pipeline-GRCm38_GSE33346/peak_call/mESC_RAD21_rep2/mESC_RAD21_rep2_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE33346/peak_call/mESC_RAD21/mESC_RAD21_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE33346/peak_call/mESC_RAD21_rep1/mESC_RAD21_rep1_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE111264/peak_call/mESC_SMARCA4_rep1/mESC_SMARCA4_rep1_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE111264/peak_call/mESC_ARID1A/mESC_ARID1A_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE111264/peak_call/mESC_ARID1A_rep2/mESC_ARID1A_rep2_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE111264/peak_call/mESC_BRD4_rep1/mESC_BRD4_rep1_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE111264/peak_call/mESC_ARID1A_rep1/mESC_ARID1A_rep1_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE30267/peak_call/mESC_AFF4_rep1/mESC_AFF4_rep1_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE30267/peak_call/mESC_CDK9_rep1/mESC_CDK9_rep1_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE30267/peak_call/mESC_ELL2_rep1/mESC_ELL2_rep1_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE30267/peak_call/mESC_POL2_rep1/mESC_POL2_rep1_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE22341/peak_call/mESC_P300_rep3/mESC_P300_rep3_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE22341/peak_call/mESC_CHD7_rep1/mESC_CHD7_rep1_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE22341/peak_call/mESC_P300_rep1/mESC_P300_rep1_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE22341/peak_call/mESC_P300/mESC_P300_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE22341/peak_call/mESC_CHD7_rep2/mESC_CHD7_rep2_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE22341/peak_call/mESC_P300_rep2/mESC_P300_rep2_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE22341/peak_call/mESC_CHD7/mESC_CHD7_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE51522/peak_call/mESC_CBP_rep1/mESC_CBP_rep1_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE22557/peak_call/mESC_NIPBL/mESC_NIPBL_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE22557/peak_call/mESC_SMC3_rep1/mESC_SMC3_rep1_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE22557/peak_call/mESC_SMC3/mESC_SMC3_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE22557/peak_call/mESC_MED1/mESC_MED1_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE22557/peak_call/mESC_SMC3_rep2/mESC_SMC3_rep2_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE22557/peak_call/mESC_MED1_rep1/mESC_MED1_rep1_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE22557/peak_call/mESC_MED12/mESC_MED12_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE22557/peak_call/mESC_SMC1_rep2/mESC_SMC1_rep2_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE22557/peak_call/mESC_MED12_rep1/mESC_MED12_rep1_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE22557/peak_call/mESC_SMC1_rep1/mESC_SMC1_rep1_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE22557/peak_call/mESC_MED1_rep2/mESC_MED1_rep2_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE22557/peak_call/mESC_MED12_rep2/mESC_MED12_rep2_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE22557/peak_call/mESC_NIPBL_rep1/mESC_NIPBL_rep1_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE22557/peak_call/mESC_NIPBL_rep2/mESC_NIPBL_rep2_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE22557/peak_call/mESC_SMC1/mESC_SMC1_peaks.narrowPeak.bed
output/chip-pipeline-GRCm38_GSE111264/peak_call/mESC_BRD4_rep1/mESC_BRD4_rep1_peaks.narrowPeak.bed	51656	24194544	0.3247238097491592	0.32009331723588896	0.3020644741141171	0.7406934128706137	0.6817949166677709	0.5875188945738947	1.0	0.6851203845212763	0.6268982125400522	0.8972275926848783	0.8622504065451813	0.6304954306430899	0.7750528087735105	0.6150267030270674	0.8060228692951621	0.6782787097948357	0.6442235303090383	0.798416697546314	0.5461660526075872	0.5113655444584346	0.9993825537283384	0.4118464247855586	0.43912176271443376	0.9277450530822839	0.41450455095458305	0.9486369875764972	0.9224309207643518	0.4421610566685574	0.7417923251536759	0.5061921209955829	0.9051982430118533	0.9295317402396638	1.0	0.990687674223984	0.4720395095353372
output/chip-pipeline-GRCm38_GSE111264/peak_call/mESC_ARID1A_rep1/mESC_ARID1A_rep1_peaks.narrowPeak.bed	17159	5981069	0.1938297224428994	0.25530380534012426	0.19136674351030855	0.8661469584739712	0.873226816283489	0.8445162492224147	0.6851203845212763	1.0	0.21178958592932176	0.3707059116188407	0.3586489894657795	0.34332814233737924	0.6053046636791103	0.44686265639615536	0.6110690219775077	0.48518855843296954	0.3819388506603179	0.6454742238696485	0.4959177753601816	0.37972198346529024	0.4575804049167714	0.05131343164496373	0.04008395203108052	0.5676244448731251	0.03242561541280819	0.6098027172869391	0.665906728292818	0.05747805154376899	0.5395247942181821	0.1236542885542038	0.5304680306126668	0.6631757298735287	0.24485478105188166	0.4815541890273401	0.07041639638720948
output/chip-pipeline-GRCm38_GSE30267/peak_call/mESC_AFF4_rep1/mESC_AFF4_rep1_peaks.narrowPeak.bed	6160	3560837	0.16131082324871363	0.22698000086246758	0.1743333913703817	0.5890149849771786	0.24406964806279505	0.30990637524179754	0.6268982125400522	0.2117895859293218	1.0	0.10392485553652137	0.7384859574015128	0.6215901629911553	0.34744701074151646	0.20743714558146575	0.37321041485143114	0.2366523008143065	0.284864870018199	0.38148491872041884	0.32357669831832153	0.27016714022682486	0.4370666568840826	0.021726349137622645	0.005076259578848866	0.5472516547127212	0.0027585429994275916	0.6090014278019987	0.49614276578349886	0.015054813047203047	0.3256169389963033	0.0530330418905315	0.48928984027281364	0.5090859471223526	1.0	0.40804612698921455	0.022124603602406347
output/chip-pipeline-GRCm38_GSE30267/peak_call/mESC_CDK9_rep1/mESC_CDK9_rep1_peaks.narrowPeak.bed	1343	433505	0.2857287947415672	0.4166973696729199	0.36279604506256924	0.9756394689531064	0.3774367483318709	0.49871518734257636	0.8972275926848783	0.3707059116188407	0.10392485553652137	1.0	0.09587092381466712	0.9058592138002981	0.041760098771302885	0.04073058404882556	0.04815352462163199	0.06157703057125292	0.20222935134912007	0.04043253849355148	0.16985676879919182	0.2952267807919074	0	0.07762198593478921	0.009590824033930254	0.03804797542012113	0.0033422297689885937	0.031122045478256234	0.056309995078057326	0.008740219854512635	0.07204585914686111	0.1276333650676947	0.062292620919734185	0.056867460527656025	0	0.04942532717338239	0.016641604491587005
output/chip-pipeline-GRCm38_GSE30267/peak_call/mESC_ELL2_rep1/mESC_ELL2_rep1_peaks.narrowPeak.bed	2310	844304	0.32141811224834727	0.42799951402875613	0.3494729059469364	0.8057773979564274	0.4052076565969956	0.4939835102326836	0.8622504065451813	0.3586489894657795	0.7384859574015128	0.09587092381466712	1.0	0.8543388725740274	0.2208848748369492	0.30953931334288054	0.23697249207184237	0.3600359104891707	0.4492989842063296	0.22728276825659827	0.4859696737511919	0.4631283559301562	0.4722558982655388	0.05060657867051272	0.005902246543385917	0.36957433357258246	0.003583038016188278	0.4224860748191497	0.30222920278497467	0.01250141031929648	0.3236531373961002	0.12446610091668187	0.348398606194925	0.31195380528362876	1.0	0.39707449272498574	0.023953492378644938
output/chip-pipeline-GRCm38_GSE30267/peak_call/mESC_POL2_rep1/mESC_POL2_rep1_peaks.narrowPeak.bed	32172	18056279	0.2195000483780794	0.3006635022460947	0.2662587631932226	0.7469830480233982	0.32051014896070845	0.3009805370935612	0.6304954306430899	0.34332814233737924	0.6215901629911553	0.9058592138002981	0.8543388725740274	1.0	0.3789693923542454	0.28873412621976413	0.4451848435374466	0.34047262704339054	0.4286809929090385	0.4017742554450164	0.3206255852347461	0.3588471410290608	0.8943500226159876	0.21640967117059953	0.14395387281057379	0.7278940721282091	0.11080745406282094	0.769951256169664	0.6758235888245903	0.13483278175314908	0.4580391780509262	0.28651917308834013	0.701429133709177	0.6981977081579099	1.0	0.8522132097006926	0.16784317166023174
output/chip-pipeline-GRCm38_GSE22341/peak_call/mESC_P300_rep3/mESC_P300_rep3_peaks.narrowPeak.bed	2780	963243	0.3726005909097592	0.4452415515619675	0.37057090285259486	0.7826679606262605	0.6794016685538201	0.7412323341436977	0.7750528087735105	0.6053046636791103	0.34744701074151646	0.041760098771302885	0.22088487483694924	0.3789693923542454	1.0	0.6236141309967761	0.597820715319851	0.8604727146843572	0.675361767375887	0.6963577874783097	0.7587157541666533	0.7218835665619623	0.5702382294899259	0.02109450954286814	0.00379125191455999	0.3934548376523835	0.002744273858368928	0.4517929745608519	0.44067139911587117	0.025726729372292357	0.46850021269317793	0.12566424842756163	0.3320040510524553	0.44666801048499405	0.7350793704162197	0.4766854932908243	0.03488916996870204
output/chip-pipeline-GRCm38_GSE22341/peak_call/mESC_CHD7_rep1/mESC_CHD7_rep1_peaks.narrowPeak.bed	15180	4203093	0.22147509240663663	0.27601417301165987	0.2078855761354371	0.7619791795585998	0.5240043153712146	0.6246936286922611	0.6150267030270674	0.44686265639615536	0.2074371455814657	0.04073058404882556	0.30953931334288054	0.28873412621976413	0.6236141309967761	1.0	0.6151152096247532	0.4462980176146587	0.5362474908863026	0.6913903224820072	0.9130270864592239	0.43179490206862003	0.49097016103812435	0.03310582330544461	0.034610235930613506	0.5375123710939341	0.03614261745363293	0.5974204350339188	0.6140167836617647	0.053951340387626966	0.4967165539872843	0.07990665229481679	0.4768787216971571	0.610083766833247	0.6975643187323604	0.4733472414339948	0.055570266381291304
output/chip-pipeline-GRCm38_GSE22341/peak_call/mESC_P300_rep1/mESC_P300_rep1_peaks.narrowPeak.bed	3305	882681	0.4214744250251426	0.5049415849645471	0.4055004422139435	0.8121939018803568	0.6888715405763478	0.755165250016096	0.8060228692951621	0.6110690219775077	0.37321041485143114	0.04815352462163199	0.23697249207184237	0.4451848435374466	0.597820715319851	0.6151152096247532	1.0	0.9362363298044661	0.6945339131554413	0.6658957850294946	0.7768819955034659	0.7694361811164536	0.5277139650523331	0.033213576124543356	0.0068620239378552285	0.3975781947189512	0.004608264453210709	0.4562318236602611	0.4510639657411486	0.025363120041165456	0.4971278475566959	0.15851988344181758	0.36034424562801487	0.4619833373376536	0.6757138377839607	0.49362664619140467	0.0384646458998185
output/chip-pipeline-GRCm38_GSE22341/peak_call/mESC_P300/mESC_P300_peaks.narrowPeak.bed	12659	2764824	0.2871199013925697	0.3769049091107949	0.2915238488531366	0.7115206364950469	0.5556461040413845	0.6360235371462867	0.6782787097948358	0.48518855843296954	0.2366523008143065	0.06157703057125292	0.3600359104891707	0.34047262704339054	0.8604727146843572	0.4462980176146587	0.9362363298044661	1.0	0.4962543622752887	0.9587782646058581	0.6095585139246824	0.5695409290480223	0.6563071072882806	0.031342510683682004	0.014439985092841424	0.6088018399801631	0.012975714054076964	0.6618359260726168	0.693116701199688	0.035390453670456665	0.4791371334007384	0.10317446114941783	0.5434611328481772	0.6993836773650974	0.8017405665796681	0.5748983641475273	0.044303259182419494
